No,Domain,Link
1,"Problem Solving (1★ - 4/563 solved)",https://www.hackerrank.com/domains/algorithms
2,"C++ (3★ - 9/44 solved)",https://www.hackerrank.com/domains/cpp
3,"Java (0★ - 0/64 solved)",https://www.hackerrank.com/domains/java
4,"Python (3★ - 11/115 solved)",https://www.hackerrank.com/domains/python
5,"30 Days of Code (0★ - 0/30 solved)",https://www.hackerrank.com/domains/tutorials/30-days-of-code
6,"10 Days of JS (0★ - 0/25 solved)",https://www.hackerrank.com/domains/tutorials/10-days-of-javascript
7,"10 Days of Statistics (0★ - 0/27 solved)",https://www.hackerrank.com/domains/tutorials/10-days-of-statistics
8,"Sql (2★ - 20/58 solved)",https://www.hackerrank.com/domains/sql
9,"C (2★ - 9/25 solved)",https://www.hackerrank.com/domains/c
10,"Ruby (0★ - 0/41 solved)",https://www.hackerrank.com/domains/ruby
